libellé index,2020_11,2020_10,2020_09,2020_08,2020_07,2020_06,2020_05,2020_04,2020_03,2020_02,2020_01
Règlements de compte entre malfaireurs,0,0,3,0,0,0,0,0,0,0,0
Homicides pour voler et à l'occasion de vols,0,0,0,1,0,1,0,0,0,0,0
Homicides pour d'autres motifs,3,4,2,1,1,7,0,1,1,2,3
Tentatives d'homicides pour voler et à l'occasion de vols,0,3,2,1,1,1,0,0,0,2,1
Tentatives homicides pour d'autres motifs,8,18,14,20,13,13,15,12,16,11,15
Coups et blessures volontaires suivis de mort,0,0,1,1,0,1,0,0,1,1,1
Autres coups et blessures volontaires criminels ou correctionnels,885,961,1069,939,1123,1092,912,509,705,993,1059
Prises d'otages à l'occasion de vols,0,0,0,0,0,0,0,0,0,2,0
Prises d'otages dans un autre but,1,0,1,0,0,0,1,0,2,0,3
Sequestrations,11,16,18,15,21,18,17,8,13,21,15
Menaces ou chantages pour extorsion de fonds,131,134,148,105,118,99,73,27,72,117,149
Menaces ou chantages dans un autre but,496,564,466,399,475,502,365,169,326,470,484
Atteintes à la dignité et à la personnalité,222,271,239,211,274,242,158,64,121,253,207
Violations de domicile,61,66,68,79,82,70,51,22,34,57,56
Vols à main armée contre des établissements financiers,0,0,1,0,1,1,0,0,0,0,0
Vols à main armée contre des éts industriels ou commerciaux,3,4,1,1,0,1,0,2,5,3,2
Vols à main armée contre des entreprises de transports de fonds,0,1,0,0,0,0,0,0,0,0,0
Vols à main armée contre des particuliers à leur domicile,3,0,1,2,0,3,2,3,1,2,2
Autres vols à main armée,4,2,3,7,6,1,4,1,4,5,2
"Vols avec armes blanches contre des établissements financiers,commerciaux ou industriels",0,3,1,3,1,6,0,6,2,1,5
Vols avec armes blanches contre des particuliers à leur domicile,3,4,4,3,3,3,0,1,2,8,1
Autres vols avec armes blanches,29,32,50,45,31,34,15,15,31,27,49
"Vols violents sans arme contre des établissements financiers,commerciaux ou industriels",4,4,4,5,6,3,2,5,8,9,2
